precision train,0.46,recall train,0.575,f-score train,0.5111111111111112
precision test,0.4,recall test,0.5,f-score test,0.4444444444444445

Sentence,Expected Annotations,PMID,Year,Journal title,Organization
training
" Epithelial cells express a large panel of inflammasome components, and although the molecular mechanisms underlying the activation of these complexes in haematopoietic cells are well understood, how epithelial cells react to danger signals to activate the inflammasome remains unclear","[['signals', 'activate', 'inflammasome']]",30098204,2018,Immunology,Claude Bernard Lyon 1 University
" In the current study, the binding mechanism of chlorogenic acid and Streptococcus pneumoniae neuraminidase were investigated by molecular simulation","[['the', 'binding', 'mechanism']]",32028720,2020,International journal of molecular sciences,Jilin Engineering Normal University
" CONCLUSIONS: LIPUS improved the hematopoietic microenvironment, accelerated the reconstruction of bone marrow cells, and increased the quantity and quality of RBCs, WBCs, and PLTs in the peripheral blood","[['microenvironment', 'accelerated', 'reconstruction']]",31087076,2019,Physical therapy,Chongqing Medical University
" However, at a later stage iPA blocks the autophagic flux monitored by p62 accumulation, Luciferase reporter-based assay for LC3 turnover in living cells and fluorescence of a tandem RFP-GFP-LC3 construct","[['None', 'blocks', 'flux']]",29027991,2018,Cell death and differentiation,University of Salerno
" Interestingly, the metal ions promoted DNA double-strand breaks but did not induce SOS repair pathways, indicating that the metal ions could block SOS induction","[['ions', 'block', 'induction']]",29058747,2017,Metallomics : integrated biometal science,Sector 39-A
" Ultimately, D antigen blocked by high-titer maternal anti-D antibody was confirmed","[['antigen', 'blocked', 'None']]",29053863,2017,Laboratory medicine,West China Second University Hospital
" mCRAMP inhibited the angiotensin II-stimulated hypertrophic response and oxidative stress in neonatal rat cardiomyocytes, but mCRAMP did not help the angiotensin II-induced inflammatory response and oxidative stress in endothelial cells","[['mCRAMP', 'inhibited', 'response'], ['mCRAMP', 'inhibited', 'stress']]",32029708,2020,Cell death & disease,the First Afliated Hospital of Zhengzhou University
 The transduced neurons were activated daily by systemic administration of otherwise inert ligand clozapine-n-oxide,"[['neurons', 'activated', 'clozapine-n-oxide']]",30045362,2018,Journal of hypertension,Department of Physiology and Biophysics.
 melitensis specific binding aptamer (Apt) attached magnetic nanoparticles,"[['specific', 'binding', 'aptamer']]",31036183,2019,Talanta,Gazi University
